Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Sarifintown\Sarifintown.csproj,File,Sarifintown\Sarifintown.csproj,,,Microsoft.AspNetCore.Components.WebAssembly 9.0.8,,,,,"Microsoft.AspNetCore.Components.WebAssembly, 9.0.8  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly, and replace with new package Microsoft.AspNetCore.Components.WebAssembly 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Sarifintown\Sarifintown.csproj,File,Sarifintown\Sarifintown.csproj,,,Microsoft.AspNetCore.Components.WebAssembly.DevServer 9.0.8,,,,,"Microsoft.AspNetCore.Components.WebAssembly.DevServer, 9.0.8  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly.DevServer, and replace with new package Microsoft.AspNetCore.Components.WebAssembly.DevServer 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Sarifintown\Sarifintown.csproj,File,Sarifintown\Sarifintown.csproj,,,Microsoft.Extensions.Http 9.0.8,,,,,"Microsoft.Extensions.Http, 9.0.8  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Sarifintown\Sarifintown.csproj,File,Sarifintown\Sarifintown.csproj,,,System.Text.Json 9.0.8,,,,,"System.Text.Json, 9.0.8  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Sarifintown\Sarifintown.csproj,File,Sarifintown\Sarifintown.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Sarifintown\Sarifintown.csproj,File,Sarifintown\Services\KernelService.cs,79,16,T:System.Uri,,,,,httpClient.BaseAddress = new Uri(Settings.Endpoint);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Sarifintown\Sarifintown.csproj,File,Sarifintown\Services\KernelService.cs,79,16,M:System.Uri.#ctor(System.String),,,,,httpClient.BaseAddress = new Uri(Settings.Endpoint);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Sarifintown\Sarifintown.csproj,File,Sarifintown\Services\KernelService.cs,79,16,T:System.Uri,,,,,httpClient.BaseAddress = new Uri(Settings.Endpoint);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Sarifintown\Sarifintown.csproj,File,Sarifintown\Helpers\FileHelper.cs,19,16,T:System.Uri,,,,,path = new Uri(path).LocalPath;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Sarifintown\Sarifintown.csproj,File,Sarifintown\Helpers\FileHelper.cs,19,16,M:System.Uri.#ctor(System.String),,,,,path = new Uri(path).LocalPath;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Sarifintown\Sarifintown.csproj,File,Sarifintown\Program.cs,21,12,M:Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions.AddHttpClient(Microsoft.Extensions.DependencyInjection.IServiceCollection),,,,,builder.Services.AddHttpClient();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Sarifintown\Sarifintown.csproj,File,Sarifintown\Program.cs,18,12,T:System.Uri,,,,,builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Sarifintown\Sarifintown.csproj,File,Sarifintown\Program.cs,18,12,M:System.Uri.#ctor(System.String),,,,,builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Sarifintown\Sarifintown.csproj,File,Sarifintown\Program.cs,18,12,T:System.Uri,,,,,builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Sarifintown.Tests\Sarifintown.Tests.csproj,File,Sarifintown.Tests\Sarifintown.Tests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Sarifintown.Tests\Sarifintown.Tests.csproj,File,Sarifintown.Tests\BlazorTest.cs,36,8,M:System.IO.Path.Combine(System.ReadOnlySpan{System.String}),,,,,"var webRootPath = Path.Combine(solutionRoot, ""Sarifintown"", ""bin"", buildConfigFolder, dotNetVersion, ""wwwroot"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Sarifintown.Tests\Sarifintown.Tests.csproj,File,Sarifintown.Tests\BlazorTest.cs,29,8,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"var isDebug = configuration.GetValue<string>(""DOTNET_ENVIRONMENT"") == ""Development""              || builder.Environment.IsDevelopment();"
